lon,lat,x,y,epsg,collection,bands,edge_size,resolution,img_id,img_date,manifest,outname
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160618T070631_20160618T121103_T39PVM,2016-06-18 07:06:31,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160618T070631_20160618T121103_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160618T070631_20160618T121103_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160618T070631_20160618T121103_T39PWM,2016-06-18 07:06:31,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160618T070631_20160618T121103_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160618T070631_20160618T121103_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160621T065622_20160621T070528_T39PVM,2016-06-21 07:05:28,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160621T065622_20160621T070528_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160621T065622_20160621T070528_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160621T065622_20160621T070528_T39PWM,2016-06-21 07:05:28,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160621T065622_20160621T070528_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160621T065622_20160621T070528_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160621T070528_20160621T122048_T39PVM,2016-06-21 07:05:28,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160621T070528_20160621T122048_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160621T070528_20160621T122048_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160621T070528_20160621T122048_T39PWM,2016-06-21 07:05:28,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160621T070528_20160621T122048_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160621T070528_20160621T122048_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160628T064622_20160628T070601_T39PVM,2016-06-28 07:06:01,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160628T064622_20160628T070601_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160628T064622_20160628T070601_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160628T064622_20160628T070601_T39PWM,2016-06-28 07:06:01,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160628T064622_20160628T070601_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160628T064622_20160628T070601_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160628T070601_20160628T120736_T39PVM,2016-06-28 07:06:01,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160628T070601_20160628T120736_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160628T070601_20160628T120736_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160628T070601_20160628T120736_T39PWM,2016-06-28 07:06:01,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160628T070601_20160628T120736_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160628T070601_20160628T120736_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160701T071342_20160701T071343_T39PVM,2016-07-01 07:13:43,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160701T071342_20160701T071343_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160701T071342_20160701T071343_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160701T071342_20160701T071343_T39PWM,2016-07-01 07:13:43,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160701T071342_20160701T071343_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160701T071342_20160701T071343_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160701T071343_20160701T104634_T39PVM,2016-07-01 07:13:43,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160701T071343_20160701T104634_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160701T071343_20160701T104634_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160701T071343_20160701T104634_T39PWM,2016-07-01 07:13:43,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160701T071343_20160701T104634_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160701T071343_20160701T104634_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160708T070402_20160708T070636_T39PVM,2016-07-08 07:06:36,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160708T070402_20160708T070636_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160708T070402_20160708T070636_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160708T070402_20160708T070636_T39PWM,2016-07-08 07:06:36,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160708T070402_20160708T070636_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160708T070402_20160708T070636_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160708T070636_20160708T121228_T39PVM,2016-07-08 07:06:36,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160708T070636_20160708T121228_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160708T070636_20160708T121228_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160708T070636_20160708T121228_T39PWM,2016-07-08 07:06:36,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160708T070636_20160708T121228_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160708T070636_20160708T121228_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160711T065622_20160711T070758_T39PVM,2016-07-11 07:07:58,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160711T065622_20160711T070758_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160711T065622_20160711T070758_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160711T065622_20160711T070758_T39PWM,2016-07-11 07:07:58,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160711T065622_20160711T070758_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160711T065622_20160711T070758_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160711T070758_20160711T151957_T39PVM,2016-07-11 07:07:58,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160711T070758_20160711T151957_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160711T070758_20160711T151957_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160711T070758_20160711T151957_T39PWM,2016-07-11 07:07:58,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160711T070758_20160711T151957_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160711T070758_20160711T151957_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160718T064632_20160718T065725_T39PVM,2016-07-18 06:57:25,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160718T064632_20160718T065725_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160718T064632_20160718T065725_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160718T064632_20160718T065725_T39PWM,2016-07-18 06:57:25,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160718T064632_20160718T065725_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160718T064632_20160718T065725_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160718T065725_20160718T103819_T39PVM,2016-07-18 06:57:25,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160718T065725_20160718T103819_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160718T065725_20160718T103819_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160718T065725_20160718T103819_T39PWM,2016-07-18 06:57:25,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160718T065725_20160718T103819_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160718T065725_20160718T103819_T39PWM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160721T071342_20160721T071345_T39PVM,2016-07-21 07:13:45,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160721T071342_20160721T071345_T39PVM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160721T071342_20160721T071345_T39PVM.tif
51.079225,10.452173,508030.43405854504,1156048.1056529859,EPSG:32639,COPERNICUS/S2_HARMONIZED,"B4, B3, B2",128,10,COPERNICUS/S2_HARMONIZED/20160721T071342_20160721T071345_T39PWM,2016-07-21 07:13:45,"{'assetId': 'COPERNICUS/S2_HARMONIZED/20160721T071342_20160721T071345_T39PWM', 'fileFormat': 'GEO_TIFF', 'bandIds': ['B4', 'B3', 'B2'], 'grid': {'dimensions': {'width': 128, 'height': 128}, 'affineTransform': {'scaleX': 10, 'shearX': 0, 'translateX': 508030.43405854504, 'shearY': 0, 'scaleY': -10, 'translateY': 1156048.1056529859}, 'crsCode': 'EPSG:32639'}}",20160721T071342_20160721T071345_T39PWM.tif
